127.0.0.1 - - [14/Apr/2016:21:24:08 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:17 +0900] "GET /Hospital_Reservation/Reservation.jsp HTTP/1.1" 200 94122
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:17 +0900] "GET /Hospital_Reservation/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:17 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:17 +0900] "GET /Hospital_Reservation/btn_reserv_ok.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:18 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:53 +0900] "GET /Hospital_Reservation/Reservation.jsp HTTP/1.1" 200 94122
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:53 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:53 +0900] "GET /Hospital_Reservation/btn_reserv_ok.gif HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:53 +0900] "GET /Hospital_Reservation/style.css HTTP/1.1" 200 5375
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:53 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:25:53 +0900] "GET /img/favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/Main.jsp HTTP/1.1" 200 9787
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/css/bootstrap.css HTTP/1.1" 200 153585
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/css/animate.css HTTP/1.1" 200 81426
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/fonts/font-awesome-4.1.0/css/font-awesome.min.css HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/css/normalize.css HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/css/owl.css HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/fonts/eleganticons/et-icons.css HTTP/1.1" 200 26366
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:26:04 +0900] "GET /Hospital_Reservation/js/jquery.onepagenav.js HTTP/1.1" 304 -
