127.0.0.1 - - [31/May/2016:00:18:25 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:27 +0900] "GET /Hospital_Reservation/view/rsv_Confirm.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:28 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:28 +0900] "GET /Hospital_Reservation/view/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:28 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:30 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:30 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:30 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:31 +0900] "GET /Hospital_Reservation/view/rsv_Confirm.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:31 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:33 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:33 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:33 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:39 +0900] "GET /Hospital_Reservation/view/rsv_Login.jsp?ydate=2016-05-31%2000:18&doctor=Doctor4&subject=Internal%20Medicine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:39 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:39 +0900] "GET /Hospital_Reservation/view/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:39 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:39 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:18:44 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 200 109
