127.0.0.1 - - [01/Jun/2016:00:26:56 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:26:59 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:05 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:05 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:05 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:12 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:12 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:12 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:19 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:20 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:20 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:21 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:23 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:25 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:25 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:25 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:28 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:28 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:28 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:30 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:30 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:30 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:30 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:31 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:33 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:33 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:33 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:33 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
